date_key,full_date,year,month,day,weekday
20180102,2018-01-02,2018,1,2,1
20180724,2018-07-24,2018,7,24,1
20181108,2018-11-08,2018,11,8,3
20180418,2018-04-18,2018,4,18,2
20180813,2018-08-13,2018,8,13,0
20180709,2018-07-09,2018,7,9,0
20180516,2018-05-16,2018,5,16,2
20180623,2018-06-23,2018,6,23,5
20180729,2018-07-29,2018,7,29,6
20180713,2018-07-13,2018,7,13,4
20181007,2018-10-07,2018,10,7,6
20180725,2018-07-25,2018,7,25,2
20181201,2018-12-01,2018,12,1,5
20180602,2018-06-02,2018,6,2,5
20180326,2018-03-26,2018,3,26,0
20180421,2018-04-21,2018,4,21,5
20180126,2018-01-26,2018,1,26,4
20180218,2018-02-18,2018,2,18,6
20181215,2018-12-15,2018,12,15,5
20180803,2018-08-03,2018,8,3,4
20180608,2018-06-08,2018,6,8,4
20181109,2018-11-09,2018,11,9,4
20180820,2018-08-20,2018,8,20,0
20181004,2018-10-04,2018,10,4,3
20181212,2018-12-12,2018,12,12,2
20180825,2018-08-25,2018,8,25,5
20181110,2018-11-10,2018,11,10,5
20180916,2018-09-16,2018,9,16,6
20180312,2018-03-12,2018,3,12,0
20180817,2018-08-17,2018,8,17,4
20180821,2018-08-21,2018,8,21,1
20180730,2018-07-30,2018,7,30,0
20181001,2018-10-01,2018,10,1,0
20181226,2018-12-26,2018,12,26,2
20180519,2018-05-19,2018,5,19,5
20180424,2018-04-24,2018,4,24,1
20181104,2018-11-04,2018,11,4,6
20180518,2018-05-18,2018,5,18,4
20180514,2018-05-14,2018,5,14,0
20180517,2018-05-17,2018,5,17,3
20180801,2018-08-01,2018,8,1,2
20181026,2018-10-26,2018,10,26,4
20180726,2018-07-26,2018,7,26,3
20180315,2018-03-15,2018,3,15,3
20181130,2018-11-30,2018,11,30,4
20181011,2018-10-11,2018,10,11,3
20181209,2018-12-09,2018,12,9,6
20181213,2018-12-13,2018,12,13,3
20181013,2018-10-13,2018,10,13,5
20180430,2018-04-30,2018,4,30,0
20181105,2018-11-05,2018,11,5,0
20180415,2018-04-15,2018,4,15,6
20180819,2018-08-19,2018,8,19,6
20180922,2018-09-22,2018,9,22,5
20180607,2018-06-07,2018,6,7,3
20180810,2018-08-10,2018,8,10,4
20181018,2018-10-18,2018,10,18,3
20180715,2018-07-15,2018,7,15,6
20180213,2018-02-13,2018,2,13,1
20180913,2018-09-13,2018,9,13,3
20180815,2018-08-15,2018,8,15,2
20180920,2018-09-20,2018,9,20,3
20180215,2018-02-15,2018,2,15,3
20180728,2018-07-28,2018,7,28,5
20181126,2018-11-26,2018,11,26,0
20180322,2018-03-22,2018,3,22,3
20180906,2018-09-06,2018,9,6,3
20180509,2018-05-09,2018,5,9,2
20180116,2018-01-16,2018,1,16,1
20180308,2018-03-08,2018,3,8,3
20180827,2018-08-27,2018,8,27,0
20180511,2018-05-11,2018,5,11,4
20180622,2018-06-22,2018,6,22,4
20180501,2018-05-01,2018,5,1,1
20180219,2018-02-19,2018,2,19,0
20180911,2018-09-11,2018,9,11,1
20180320,2018-03-20,2018,3,20,1
20181103,2018-11-03,2018,11,3,5
20181230,2018-12-30,2018,12,30,6
